subject;category;technique;tp
1;LE;NT;9
1;LE;OT;0
2;LE;NT;4
2;LE;OT;4
3;LE;NT;5
3;LE;OT;3
4;LE;NT;6
4;LE;OT;3
5;LE;NT;8
5;LE;OT;6
6;LE;NT;5
6;LE;OT;4
7;LE;NT;4
7;LE;OT;4
8;LE;NT;8
8;LE;OT;5
9;LE;NT;6
9;LE;OT;4
10;LE;NT;4
10;LE;OT;2
11;LE;NT;5
11;LE;OT;3
12;LE;NT;4
12;LE;OT;2
13;LE;NT;9
13;LE;OT;7
14;LE;NT;6
14;LE;OT;0
15;LE;NT;3
15;LE;OT;4
16;LE;NT;3
16;LE;OT;2
17;LE;NT;4
17;LE;OT;6
18;LE;NT;8
18;LE;OT;5
19;LE;NT;6
19;LE;OT;4
20;LE;NT;8
20;LE;OT;6
21;LE;NT;8
21;LE;OT;4
22;LE;NT;9
22;LE;OT;4
23;LE;NT;8
23;LE;OT;5
24;LE;NT;8
24;LE;OT;9
25;LE;NT;7
25;LE;OT;0
26;LE;NT;6
26;LE;OT;3
27;LE;NT;2
27;LE;OT;3
28;LE;NT;9
28;LE;OT;7
29;LE;NT;5
29;LE;OT;3
30;LE;NT;7
30;LE;OT;4
31;LE;NT;4
31;LE;OT;1
32;LE;NT;6
32;LE;OT;4
33;LE;NT;9
33;LE;OT;3
34;LE;NT;3
34;LE;OT;8
35;LE;NT;10
35;LE;OT;5
36;LE;NT;5
36;LE;OT;2
37;LE;NT;6
37;LE;OT;0
38;LE;NT;4
38;LE;OT;5
39;LE;NT;5
39;LE;OT;5
40;LE;NT;7
40;LE;OT;6
41;LE;NT;5
41;LE;OT;4
42;LE;NT;4
42;LE;OT;3
43;LE;NT;9
43;LE;OT;1
44;LE;NT;3
44;LE;0T;3
45;LE;NT;10
45;LE;OT;2
46;LE;NT;6
46;LE;OT;6
47;ME;NT;3
47;ME;OT;3
48;ME;NT;4
48;ME;OT;6
49;ME;NT;6
49;ME;OT;8
50;ME;NT;5
50;ME;OT;8
51;ME;NT;3
51;ME;OT;2
52;ME;NT;6
52;ME;OT;3
53;ME;NT;1
53;ME;OT;4
54;ME;NT;8
54;ME;OT;8
55;ME;NT;3
55;ME;OT;4
56;ME;NT;5
56;ME;OT;3
57;ME;NT;7
57;ME;OT;8
58;ME;NT;0
58;ME;OT;10
59;ME;NT;5
59;ME;OT;8
60;ME;NT;0
60;ME;OT;0
61;ME;NT;6
61;ME;OT;0
62;ME;NT;5
62;ME;OT;4
63;ME;NT;12
63;ME;OT;9
64;ME;NT;4
64;ME;OT;7
65;ME;NT;0
65;ME;OT;5
66;ME;NT;5
66;ME;OT;6
67;ME;NT;6
67;ME;OT;0
68;ME;NT;11
68;ME;OT;4
69;ME;NT;9
69;ME;OT;10
70;ME;NT;0
70;ME;OT;9
